source,target,type
(株),株式会社,corporate
(有),有限会社,corporate
(合),合同会社,corporate
(社),社団法人,corporate
(財),財団法人,corporate
(独),独立行政法人,corporate
(学),学校法人,corporate
(宗),宗教法人,corporate
(医),医療法人,corporate
(特),特定非営利活動法人,corporate
(一社),一般社団法人,corporate
(公社),公益社団法人,corporate
(一財),一般財団法人,corporate
(公財),公益財団法人,corporate
(福),社会福祉法人,corporate
(協),協同組合,corporate
(名),合名会社,corporate
(資),合資会社,corporate
—,-,symbol
−,-,symbol
‐,-,symbol
―,-,symbol
–,-,symbol
‑,-,symbol
…,...,symbol
‥,..,symbol
〜,~,symbol
〰,~,symbol
‼,!!,symbol
⁉,!?,symbol
⁈,?!,symbol
“,"""",quote
”,"""",quote
„,"""",quote
‟,"""",quote
‘,',quote
’,',quote
‚,',quote
‛,',quote
國,国,char
學,学,char
會,会,char
體,体,char
榮,栄,char
澤,沢,char
濱,浜,char
齋,斎,char
齊,斉,char
髙,高,char
﨑,崎,char
德,徳,char
廣,広,char
黑,黒,char
惡,悪,char
壽,寿,char
圓,円,char
藝,芸,char
醫,医,char
假,仮,char
價,価,char
據,拠,char
條,条,char
靈,霊,char
應,応,char
壓,圧,char
爲,為,char
舊,旧,char
眞,真,char
盡,尽,char
讀,読,char
賣,売,char
續,続,char
總,総,char
聲,声,char
齒,歯,char
變,変,char
邊,辺,char
關,関,char
鐵,鉄,char
轉,転,char
傳,伝,char
當,当,char
發,発,char
與,与,char
餘,余,char
譽,誉,char
樂,楽,char
數,数,char
檢,検,char
權,権,char
濟,済,char
淺,浅,char
縣,県,char
廳,庁,char
惠,恵,char
戰,戦,char
拂,払,char
佛,仏,char
獨,独,char
灣,湾,char
齡,齢,char
龜,亀,char
觀,観,char
歐,欧,char
櫻,桜,char
兒,児,char
圖,図,char
團,団,char
寶,宝,char
專,専,char
將,将,char
從,従,char
晝,昼,char
蟲,虫,char
豐,豊,char
廢,廃,char
擔,担,char
藥,薬,char
譯,訳,char
驛,駅,char
嚴,厳,char
勞,労,char
帶,帯,char
單,単,char
圍,囲,char
彈,弾,char
惱,悩,char
覺,覚,char
觸,触,char
辭,辞,char
鹽,塩,char
靜,静,char
麥,麦,char
サーバ,サーバー,katakana
ユーザ,ユーザー,katakana
コンピュータ,コンピューター,katakana
プリンタ,プリンター,katakana
ブラウザ,ブラウザー,katakana
フォルダ,フォルダー,katakana
メモリ,メモリー,katakana
センタ,センター,katakana
モニタ,モニター,katakana
パラメータ,パラメーター,katakana
スキャナ,スキャナー,katakana
ドライバ,ドライバー,katakana
エディタ,エディター,katakana
プロセッサ,プロセッサー,katakana
マネージャ,マネージャー,katakana
カレンダ,カレンダー,katakana
シャッタ,シャッター,katakana
ヘッダ,ヘッダー,katakana
フッタ,フッター,katakana
フィルタ,フィルター,katakana
ベンダ,ベンダー,katakana
プレイヤ,プレイヤー,katakana
スピーカ,スピーカー,katakana
エレベータ,エレベーター,katakana
エスカレータ,エスカレーター,katakana
インジケータ,インジケーター,katakana
コネクタ,コネクター,katakana
アダプタ,アダプター,katakana
セパレータ,セパレーター,katakana
デザイナ,デザイナー,katakana
プログラマ,プログラマー,katakana
レコーダ,レコーダー,katakana
ミキサ,ミキサー,katakana
ヒータ,ヒーター,katakana
クーラ,クーラー,katakana
タイマ,タイマー,katakana
トレーナ,トレーナー,katakana
パートナ,パートナー,katakana
オーナ,オーナー,katakana
リーダ,リーダー,katakana
メンバ,メンバー,katakana
インタフェース,インターフェース,katakana
インターフェイス,インターフェース,katakana
プレーヤー,プレイヤー,katakana
ヴァ,バ,katakana
ヴィ,ビ,katakana
ヴェ,ベ,katakana
ヴォ,ボ,katakana
ヴ,ブ,katakana
